id,LST,NDVI,IBI,MNDWI
325,36.13186,0.67894,-0.16854,-0.45891
326,39.20889,0.31615,-0.00121,-0.32626
327,38.79578,0.13483,-0.22309,0.18033
328,42.47204,0.65539,-0.19793,-0.42667
329,41.52959,0.50820,-0.07414,-0.42184
330,40.63750,0.58457,-0.12802,-0.43438
331,37.66513,0.52646,-0.05785,-0.43952
332,42.53138,0.67482,-0.19437,-0.43069
333,48.10380,0.14211,0.11059,-0.34755
334,36.87634,0.70022,-0.36697,-0.23540
335,47.57712,0.15783,0.09711,-0.35211
336,42.15874,0.40908,0.02198,-0.47477
337,35.82129,0.66692,-0.15885,-0.46783
338,44.52607,0.24600,0.09032,-0.44141
339,41.45338,0.68046,-0.18684,-0.44326
340,38.19324,0.58040,-0.06856,-0.48612
341,38.32487,0.64752,-0.17082,-0.44678
342,48.41928,0.21868,0.08500,-0.40086
343,41.19387,0.47610,-0.04835,-0.44500
344,43.99209,0.19351,0.12314,-0.41895
345,38.43765,0.67639,-0.16726,-0.47795
346,44.56214,0.17193,0.07682,-0.31425
347,43.41385,0.34556,0.04487,-0.43515
348,46.98734,0.23499,0.08732,-0.39981
349,40.85149,0.50854,-0.04949,-0.47112
350,42.44431,0.20481,0.05385,-0.32342
351,38.03661,0.71684,-0.25548,-0.42623
352,40.33389,0.52638,-0.04791,-0.48857
353,42.62119,0.21666,-0.00921,-0.24326
354,40.67218,0.16541,0.21393,-0.47939
355,31.73534,-0.12921,-0.22560,0.47812
356,37.31543,0.52221,-0.11893,-0.37315
357,39.92617,0.60192,-0.08026,-0.49178
358,43.18647,0.47088,-0.10917,-0.36696
359,46.60185,0.24665,0.06745,-0.38289
360,36.04050,0.60284,-0.17417,-0.37705
361,40.08100,0.59580,-0.12311,-0.44676
362,40.96137,0.43086,-0.04261,-0.39973
363,33.46556,-0.01763,-0.32808,0.50265
364,38.67171,0.64011,-0.16472,-0.44262
365,42.39822,0.56149,-0.04946,-0.49510
366,44.19192,0.53633,-0.06375,-0.45316
367,37.44658,0.60479,-0.11812,-0.45772
368,37.78502,0.66461,-0.14638,-0.49647
369,44.72510,0.25136,0.08016,-0.38733
